iter	MultiClass
0	2.485463992
1	2.283159126
2	2.156461381
3	2.060512896
4	1.946229964
5	1.861048402
6	1.789031517
7	1.724850717
8	1.670483132
9	1.629022962
10	1.585109151
11	1.53876476
12	1.508281321
13	1.470366178
14	1.444540239
15	1.421338279
16	1.395351315
17	1.373516376
18	1.350944268
19	1.330677893
20	1.310734049
21	1.288884403
22	1.264344135
23	1.248268534
24	1.227150575
25	1.206354081
26	1.191290406
27	1.176026641
28	1.164858604
29	1.153476491
30	1.143697663
31	1.135092339
32	1.124239865
33	1.115988545
34	1.107917461
35	1.099104692
36	1.092851273
37	1.086357617
38	1.078346443
39	1.07165127
40	1.064845294
41	1.058970819
42	1.054150463
43	1.044381442
44	1.036762446
45	1.030307719
46	1.023079268
47	1.017607423
48	1.014345629
49	1.009471966
50	1.00463854
51	1.00177516
52	0.9984883534
53	0.9950373335
54	0.9901153254
55	0.9866298854
56	0.9843809563
57	0.9827647518
58	0.9809374469
59	0.9773164628
60	0.9719917176
61	0.9700709563
62	0.964563399
63	0.9608152083
64	0.9569785929
65	0.9537289087
66	0.9510568526
67	0.9483096618
68	0.9425183232
69	0.9361813581
70	0.9323581014
71	0.9283957745
72	0.9262237924
73	0.9190217838
74	0.9157282947
75	0.913517276
76	0.9119288566
77	0.9090277477
78	0.904816709
79	0.9001523181
80	0.896857623
81	0.8933656216
82	0.8899386344
83	0.8872973435
84	0.8840035713
85	0.88171084
86	0.878701417
87	0.8758992102
88	0.8713202596
89	0.8674364701
90	0.8641658936
91	0.8614865818
92	0.860755019
93	0.8579460073
94	0.8572016107
95	0.8544838179
96	0.8515225658
97	0.8496995619
98	0.8441627405
99	0.8421450544
100	0.8408630248
101	0.8394855017
102	0.8372622741
103	0.8360841459
104	0.8347154375
105	0.8313422632
106	0.8268552708
107	0.8241840077
108	0.822051731
109	0.8206819795
110	0.8188244698
111	0.8165221575
112	0.8135049831
113	0.8111247266
114	0.8107347172
115	0.8099549335
116	0.8075429869
117	0.805001755
118	0.8033703518
119	0.8018497477
120	0.8001653638
121	0.7994795815
122	0.7973179041
123	0.79588395
124	0.7948635913
125	0.7933384515
126	0.7927986726
127	0.789977169
128	0.7892504138
129	0.7877332785
130	0.7869178893
131	0.7848792311
132	0.7839392444
133	0.7827617637
134	0.7805510968
135	0.7778288668
136	0.7770422935
137	0.7744664679
138	0.7721352895
139	0.7707321362
140	0.7691956325
141	0.7678478269
142	0.7667817446
143	0.7661837914
144	0.7638730008
145	0.7611924672
146	0.760790824
147	0.7598458487
148	0.7585279427
149	0.7570061416
150	0.7564145958
151	0.7544475278
152	0.753729873
153	0.7530292802
154	0.7525985034
155	0.7510070049
156	0.7498980622
157	0.748953948
158	0.7481149342
159	0.7451465291
160	0.7444408807
161	0.7428567699
162	0.7417084892
163	0.7412447714
164	0.7378077537
165	0.7374766814
166	0.736916815
167	0.7361063994
168	0.7351648194
169	0.7334651672
