iter	Passed	Remaining
0	1582	1581313
1	3095	1544734
2	4765	1583710
3	6739	1678088
4	8420	1675743
5	10069	1668125
6	11929	1692321
7	13923	1726508
8	15651	1723437
9	17943	1776402
10	20700	1861151
11	23358	1923183
12	25253	1917292
13	27525	1938602
14	29691	1949741
15	31419	1932280
16	33044	1910738
17	34800	1898569
18	36442	1881577
19	38085	1866201
20	39723	1851872
21	41369	1839073
22	42989	1826098
23	44601	1813793
24	46216	1802454
25	47818	1791348
26	49428	1781254
27	51028	1771428
28	52687	1764125
29	54291	1755411
30	55888	1746957
31	57509	1739675
32	59117	1732314
33	60721	1725204
34	62308	1717928
35	63893	1710928
36	65484	1704377
37	67068	1697900
38	68655	1691747
39	70251	1686034
40	71864	1680932
41	73495	1676395
42	75103	1671479
43	76697	1666417
44	78295	1661595
45	79897	1657008
46	81494	1652426
47	83093	1648011
48	84698	1643848
49	86319	1640079
50	87915	1635909
51	89531	1632232
52	91198	1629522
53	92795	1625647
54	94393	1621848
55	95993	1618169
56	97606	1614790
57	99208	1611277
58	100839	1608299
59	102450	1605055
60	104061	1601860
61	105666	1598636
62	107251	1595148
63	108843	1591833
64	110447	1588744
65	112034	1585452
66	113645	1582549
67	115233	1579379
68	116855	1576698
69	118460	1573832
70	120054	1570856
71	121670	1568201
72	123369	1566624
73	124988	1564042
74	126683	1562430
75	128305	1559930
76	129984	1558120
77	131598	1555564
78	133262	1553609
79	134946	1551885
80	136566	1549442
81	138175	1546896
82	139802	1544560
83	141396	1541893
84	142995	1539305
85	144600	1536797
86	146222	1534491
87	147815	1531905
88	149420	1529461
89	151098	1527769
90	152748	1525811
91	154346	1523337
92	155954	1520971
93	157663	1519603
94	159324	1517772
95	160937	1515494
96	162535	1513088
97	164149	1510847
98	165859	1509493
99	167811	1510305
100	169422	1508026
101	171028	1505717
102	172681	1503836
103	174280	1501491
104	175876	1499138
105	177497	1497009
106	179095	1494694
107	180695	1492412
108	182847	1494651
109	184446	1492342
110	186063	1490180
111	187743	1488539
112	189360	1486398
113	190979	1484280
114	192607	1482241
115	194243	1480272
116	195881	1478316
117	197497	1476212
118	199107	1474067
119	201144	1475059
120	202740	1472797
121	204343	1470602
122	205982	1468675
123	208027	1469611
